Date,MANCHIN:open,MANCHIN:low,MANCHIN:high,MANCHIN:close,MANCHIN:volume,MANCHIN:average,MANCHIN:price_norm,MANCHIN:current_date,MANCHIN:sentiment,MANCHIN:volume_adi,MANCHIN:volume_obv,MANCHIN:volume_cmf,MANCHIN:volume_fi,MANCHIN:volume_em,MANCHIN:volume_sma_em,MANCHIN:volume_vpt,MANCHIN:volume_nvi,MANCHIN:volatility_atr,MANCHIN:volatility_bbm,MANCHIN:volatility_bbh,MANCHIN:volatility_bbl,MANCHIN:volatility_bbw,MANCHIN:volatility_bbhi,MANCHIN:volatility_bbli,MANCHIN:volatility_kcc,MANCHIN:volatility_kch,MANCHIN:volatility_kcl,MANCHIN:volatility_kchi,MANCHIN:volatility_kcli,MANCHIN:volatility_dcl,MANCHIN:volatility_dch,MANCHIN:volatility_dchi,MANCHIN:volatility_dcli,MANCHIN:trend_macd,MANCHIN:trend_macd_signal,MANCHIN:trend_macd_diff,MANCHIN:trend_ema_fast,MANCHIN:trend_ema_slow,MANCHIN:trend_adx,MANCHIN:trend_adx_pos,MANCHIN:trend_adx_neg,MANCHIN:trend_vortex_ind_pos,MANCHIN:trend_vortex_ind_neg,MANCHIN:trend_vortex_ind_diff,MANCHIN:trend_trix,MANCHIN:trend_mass_index,MANCHIN:trend_cci,MANCHIN:trend_dpo,MANCHIN:trend_kst,MANCHIN:trend_kst_sig,MANCHIN:trend_kst_diff,MANCHIN:trend_ichimoku_a,MANCHIN:trend_ichimoku_b,MANCHIN:trend_visual_ichimoku_a,MANCHIN:trend_visual_ichimoku_b,MANCHIN:trend_aroon_up,MANCHIN:trend_aroon_down,MANCHIN:trend_aroon_ind,MANCHIN:trend_psar,MANCHIN:trend_psar_up,MANCHIN:trend_psar_down,MANCHIN:trend_psar_up_indicator,MANCHIN:trend_psar_down_indicator,MANCHIN:momentum_rsi,MANCHIN:momentum_mfi,MANCHIN:momentum_tsi,MANCHIN:momentum_uo,MANCHIN:momentum_stoch,MANCHIN:momentum_stoch_signal,MANCHIN:momentum_wr,MANCHIN:momentum_ao,MANCHIN:momentum_kama,MANCHIN:momentum_roc,MANCHIN:others_dr,MANCHIN:others_dlr,MANCHIN:others_cr
2017-02-01,0.74,0.6,0.74,0.69,0,0.0,1.0,2017-02-01,0.14649,0.0,0,,,,,37.932149348176054,1000.0,0.0,0.69,0.69,0.69,0.0,0.0,0.0,0.6766666666666666,0.6766666666666666,0.5366666666666666,0.0,0.0,0.69,0.69,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.01206566347469229,-17.185947273046246,-17.185947273046246,0.0,0.6699999999999999,0.6699999999999999,0.6978180574555404,0.6880232558139534,4.0,4.0,0.0,0.69,,,0.0,0.0,100.0,,,,64.28571428571425,64.28571428571425,-35.714285714285744,0.0,,,-1.7185947273046231,,0.0
2017-02-02,0.74,0.6,0.74,0.69,0,0.0,1.0,2017-02-02,0.03954999999999999,0.0,0,,,,,0.0,1000.0,0.0,0.69,0.69,0.69,0.0,0.0,0.0,0.6766666666666666,0.6766666666666666,0.5366666666666666,0.0,0.0,0.69,0.69,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.01206566347469229,-17.185947273046246,-17.185947273046246,0.0,0.6699999999999999,0.6699999999999999,0.6978180574555404,0.6880232558139534,4.0,4.0,0.0,0.69,,,0.0,0.0,100.0,,,,64.28571428571425,64.28571428571425,-35.714285714285744,0.0,,,0.0,0.0,0.0
2017-02-03,0.74,0.6,0.74,0.69,46,0.6422,0.9324324324324323,2017-02-03,0.057519999999999995,13.142857142857117,46,0.28571428571428514,,0.0,0.0,0.0,1000.0,0.0,0.69,0.69,0.69,0.0,0.0,0.0,0.6766666666666666,0.6766666666666666,0.5366666666666666,0.0,0.0,0.69,0.69,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.01206566347469229,-17.185947273046246,-17.185947273046246,0.0,0.6699999999999999,0.6699999999999999,0.6978180574555404,0.6880232558139534,4.0,4.0,0.0,0.74,,0.74,0.0,1.0,100.0,,,,64.28571428571425,64.28571428571425,-35.714285714285744,0.0,,,0.0,0.0,0.0
2017-02-04,0.69,0.54,0.69,0.54,100,0.565,0.7826086956521741,2017-02-04,-0.004299999999999998,-86.85714285714289,-54,-0.594911937377691,,-8249.999999999993,-4124.999999999996,-21.7391304347826,1000.0,0.0,0.6525,0.7824038105676657,0.5225961894323342,0.2598076211353315,0.0,0.0,0.6549999999999999,0.6549999999999999,0.5125,0.0,0.0,0.54,0.69,0.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-133.33333333333312,0.04956566347469227,-70.59975448646763,-30.539399076401594,-40.06035541006604,0.64,0.64,0.6978180574555404,0.6880232558139534,4.0,16.0,-12.0,0.74,,0.74,0.0,0.0,0.0,,-100.0,,0.0,42.85714285714283,-100.0,0.0,,,-21.739130434782595,-24.512245803298487,-21.739130434782595
2017-02-05,0.54,0.54,0.65,0.54,51,0.6476,1.0,2017-02-05,0.16855,-137.8571428571429,-3,-0.6997824510514867,,-4313.7254901960705,-4187.9084967320205,-21.7391304347826,1000.0,0.0,0.63,0.7769693845669906,0.4830306154330094,0.2939387691339812,0.0,0.0,0.6393333333333333,0.6393333333333333,0.5033333333333333,0.0,0.0,0.54,0.69,0.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-93.25396825396825,0.07206566347469223,-102.64803881452045,-44.961127024025366,-57.68691179049508,0.64,0.64,0.6978180574555404,0.6880232558139534,4.0,16.0,-12.0,0.74,,0.74,0.0,0.0,0.0,,-100.0,,0.0,21.428571428571416,-100.0,0.0,,,0.0,0.0,-21.739130434782595
2017-02-06,0.54,0.54,0.63,0.63,45,0.6122,1.1666666666666665,2017-02-06,0.06788,-92.85714285714289,42,-0.3837072018890202,,-2000.0000000000011,-3640.931372549016,7.499999999999997,1166.6666666666665,0.0,0.63,0.7641640786499873,0.4958359213500127,0.26832815729997456,0.0,0.0,0.6327777777777778,0.6327777777777778,0.5044444444444445,0.0,0.0,0.54,0.69,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-49.78902953586501,0.07206566347469223,-102.64803881452045,-54.57561232244121,-48.07242649207924,0.64,0.64,0.6978180574555404,0.6880232558139534,4.0,16.0,-12.0,0.732,,0.732,0.0,0.0,41.032798325191905,,-59.704143451497536,,44.99999999999999,15.0,-55.0,-0.0071666666666666545,,,16.66666666666665,15.415067982725827,-8.695652173913038
2017-02-07,0.63,0.61,0.63,0.62,4,0.6125,0.9841269841269841,2017-02-07,0.13389,-92.85714285714289,38,-0.3774680603948898,,17500.000000000004,587.254901960788,7.436507936507934,1148.148148148148,0.0,0.6285714285714284,0.7529802346118697,0.5041626225309872,0.2488176120808825,0.0,0.0,0.6309523809523808,0.6309523809523808,0.5180952380952382,0.0,0.0,0.54,0.69,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-18.634259259259053,0.07349423490326379,-104.68285051788888,-61.73378920750516,-42.94906131038372,0.64,0.64,0.6978180574555404,0.6880232558139534,4.0,16.0,-12.0,0.72432,,0.72432,0.0,0.0,39.11241493407925,,-46.0483433502462,,39.99999999999999,28.333333333333332,-60.000000000000014,-0.015142857142857125,,,-1.5873015873015928,-1.6000341346441127,-10.144927536231874
2017-02-08,0.62,0.6,0.62,0.6,32,0.6069,0.9677419354838709,2017-02-08,0.19159,-124.85714285714289,6,-0.44912641315519025,,-625.0000000000011,385.21241830065645,-1.0957501280081934,1148.148148148148,0.0,0.6249999999999999,0.7428982612255158,0.507101738774484,0.2357965224510319,0.0,0.0,0.6279166666666666,0.6279166666666666,0.5266666666666667,0.0,0.0,0.54,0.69,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-38.74643874643871,0.07706566347469235,-109.76987977630999,-67.73830052860576,-42.03157924770423,0.64,0.64,0.6978180574555404,0.6880232558139534,4.0,16.0,-12.0,0.7169472,,0.7169472,0.0,0.0,35.530818142270576,,-40.87183035647893,,29.99999999999998,38.33333333333332,-70.00000000000003,-0.024375000000000036,,,-3.2258064516129115,-3.278982282299092,-13.043478260869556
2017-02-09,0.6,0.6,0.6,0.6,0,0.0,1.0,2017-02-09,-0.03144000000000001,-124.85714285714289,6,-0.44912641315519025,,,385.21241830065645,-1.03225806451613,1148.148148148148,0.0,0.6222222222222221,0.7344829416916895,0.5099615027527548,0.22452143893893473,0.0,0.0,0.6248148148148147,0.6248148148148147,0.5348148148148149,0.0,0.0,0.54,0.69,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-47.85714285714269,0.07984344125247012,-113.72645808841526,-72.84809581302903,-40.87836227538622,0.64,0.64,0.6978180574555404,0.6880232558139534,4.0,16.0,-12.0,0.709869312,,0.709869312,0.0,0.0,35.530818142270576,,-37.90087210997293,,29.99999999999998,33.333333333333314,-70.00000000000003,-0.024111111111111083,,,0.0,0.0,-13.043478260869556
2017-02-10,0.6,0.6,0.62,0.62,44,0.62,1.0333333333333334,2017-02-10,0.027159999999999997,-80.85714285714289,50,-0.2511091393078972,,454.5454545454554,395.11713776419913,1.4666666666666681,1148.148148148148,0.08299999999999999,0.6219999999999999,0.7285082156455546,0.5154917843544452,0.21301643129110936,0.0,0.0,0.6236666666666666,0.6236666666666666,0.5406666666666666,0.0,0.0,0.54,0.69,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-21.663172606568786,0.08006566347469235,-114.04298435338372,-83.60998882195543,-30.43299553142829,0.64,0.64,0.6978180574555404,0.6880232558139534,4.0,16.0,-12.0,0.70307453952,,0.70307453952,0.0,0.0,41.72022837738415,,-32.972309903138566,,39.99999999999999,33.333333333333314,-60.000000000000014,-0.019500000000000184,0.62,,3.3333333333333437,3.278982282299092,-10.144927536231874
