Date,HEITKAMP:open,HEITKAMP:low,HEITKAMP:high,HEITKAMP:close,HEITKAMP:volume,HEITKAMP:average,HEITKAMP:price_norm,HEITKAMP:current_date,HEITKAMP:sentiment,HEITKAMP:volume_adi,HEITKAMP:volume_obv,HEITKAMP:volume_cmf,HEITKAMP:volume_fi,HEITKAMP:momentum_mfi,HEITKAMP:volume_em,HEITKAMP:volume_sma_em,HEITKAMP:volume_vpt,HEITKAMP:volume_nvi,HEITKAMP:volatility_atr,HEITKAMP:volatility_bbm,HEITKAMP:volatility_bbh,HEITKAMP:volatility_bbl,HEITKAMP:volatility_bbw,HEITKAMP:volatility_bbp,HEITKAMP:volatility_bbhi,HEITKAMP:volatility_bbli,HEITKAMP:volatility_kcc,HEITKAMP:volatility_kch,HEITKAMP:volatility_kcl,HEITKAMP:volatility_kcw,HEITKAMP:volatility_kcp,HEITKAMP:volatility_kchi,HEITKAMP:volatility_kcli,HEITKAMP:volatility_dcl,HEITKAMP:volatility_dch,HEITKAMP:volatility_dchi,HEITKAMP:volatility_dcli,HEITKAMP:trend_macd,HEITKAMP:trend_macd_signal,HEITKAMP:trend_macd_diff,HEITKAMP:trend_ema_fast,HEITKAMP:trend_ema_slow,HEITKAMP:trend_adx,HEITKAMP:trend_adx_pos,HEITKAMP:trend_adx_neg,HEITKAMP:trend_vortex_ind_pos,HEITKAMP:trend_vortex_ind_neg,HEITKAMP:trend_vortex_ind_diff,HEITKAMP:trend_trix,HEITKAMP:trend_mass_index,HEITKAMP:trend_cci,HEITKAMP:trend_dpo,HEITKAMP:trend_kst,HEITKAMP:trend_kst_sig,HEITKAMP:trend_kst_diff,HEITKAMP:trend_ichimoku_a,HEITKAMP:trend_ichimoku_b,HEITKAMP:trend_visual_ichimoku_a,HEITKAMP:trend_visual_ichimoku_b,HEITKAMP:trend_aroon_up,HEITKAMP:trend_aroon_down,HEITKAMP:trend_aroon_ind,HEITKAMP:trend_psar,HEITKAMP:trend_psar_up,HEITKAMP:trend_psar_down,HEITKAMP:trend_psar_up_indicator,HEITKAMP:trend_psar_down_indicator,HEITKAMP:momentum_rsi,HEITKAMP:momentum_tsi,HEITKAMP:momentum_uo,HEITKAMP:momentum_stoch,HEITKAMP:momentum_stoch_signal,HEITKAMP:momentum_wr,HEITKAMP:momentum_ao,HEITKAMP:momentum_kama,HEITKAMP:momentum_roc,HEITKAMP:others_dr,HEITKAMP:others_dlr,HEITKAMP:others_cr
2017-02-11,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-11,0.1777,0.0,0,,,,,,0.0,1000.0,0.23000000000000004,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.0,-inf,0.0,1.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239398,299.1712174751041,301.85737879923533,-2.6861613241312625,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-12,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-12,0.10256666666666667,0.0,0,,,,,,0.0,1000.0,0.23000000000000004,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.0,-inf,0.0,1.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,,,,,0.0,,-1.1102230246251565e-16,296.1492859854566,301.1858384682025,-5.036552482745947,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-13,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-13,0.043133333333333336,0.0,0,,,,,,0.0,1000.0,0.23000000000000004,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.0,-inf,0.0,1.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,,,,,0.0,,-1.1102230246251565e-16,293.12735449580913,300.17852797165335,-7.051173475844223,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-14,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-14,-0.12765,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.0,-inf,0.0,1.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,0.0,,0.0,,-1.1102230246251565e-16,290.1054230061616,298.8354473095878,-8.730024303426205,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-15,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-15,0.052680000000000005,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,-66.66666666666667,0.0,287.0834915165141,297.15659648200585,-10.07310496549178,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-16,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-16,-0.04853,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,-inf,0.0,278.01769704757146,294.47043515787465,-16.452738110303187,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-17,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-17,-0.03124,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,-inf,0.0,268.95190257862896,290.77696333719433,-21.82506075856537,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-18,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-18,-0.02294,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,-133.33333333333334,1.1102230246251565e-16,259.8861081096864,286.0761810199649,-26.190072910278502,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-19,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-19,0.031670000000000004,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,3.0,-133.33333333333334,1.1102230246251565e-16,250.82031364074388,280.3680882061862,-29.547774565442325,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-20,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-20,-0.03246999999999999,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,4.0,-133.33333333333334,1.1102230246251565e-16,241.75451917180135,273.9884550613748,-32.233935889573445,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-21,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-21,-0.013142857142857138,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,5.0,-133.33333333333334,1.1102230246251565e-16,226.64486172356374,266.2657412544978,-39.620879530934076,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-22,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-22,0.05445,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,6.0,-133.33333333333334,1.1102230246251565e-16,211.53520427532615,257.19994678555526,-45.664742510229104,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-23,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-23,0.2083,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,7.0,-133.33333333333334,1.1102230246251565e-16,196.42554682708857,246.79107165454712,-50.36552482745856,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-24,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-24,0.36144000000000004,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,8.0,-133.33333333333334,1.1102230246251565e-16,181.31588937885098,235.03911586147342,-53.72322648262244,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-25,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-25,0.13316666666666668,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,0.61,,0.0,0.0,0.0,1.0,1.0,0.0,,9.0,-133.33333333333334,1.1102230246251565e-16,166.2062319306134,222.61561973736696,-56.40938780675356,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-26,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-26,-0.12956,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,0.0,,,0.61,0.61,0.0,0.0,0.0,1.0,1.0,0.0,,10.0,-133.33333333333334,1.1102230246251565e-16,157.14043746167084,210.19212361326052,-53.05168615158968,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-27,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-27,0.15602,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,0.0,,,0.61,0.61,0.0,0.0,0.0,1.0,1.0,0.0,,11.0,-133.33333333333334,1.1102230246251565e-16,148.07464299272831,197.76862748915406,-49.69398449642574,0.555,0.555,0.555,0.555,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-28,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-28,0.31245,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,0.0,,,0.61,0.61,,0.0,0.0,1.0,1.0,0.0,,12.0,-133.33333333333334,1.1102230246251565e-16,139.00884852378576,185.3451313650476,-46.336282841261834,0.555,0.555,0.555,0.555,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-03-01,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-03-01,0.16427,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,0.0,,,0.61,0.61,,0.0,0.0,1.0,1.0,0.0,,13.0,-133.33333333333334,1.1102230246251565e-16,129.94305405484323,172.92163524094113,-42.9785811860979,0.555,0.555,0.555,0.555,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,73.91304347826083,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-03-02,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-03-02,-0.04121999999999999,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,0.0,,,0.61,0.61,,0.0,0.0,1.0,1.0,0.0,,14.0,-133.33333333333334,1.1102230246251565e-16,120.87725958590067,161.16967944786745,-40.29241986196678,0.555,0.555,0.555,0.555,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,73.91304347826083,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-03-03,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-03-03,0.08536,0.0,0,,0.0,,,,0.0,1000.0,0.23000000000000004,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.0,inf,1.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,0.0,,,0.61,0.61,,0.0,0.0,1.0,1.0,0.0,,15.0,-133.33333333333334,1.1102230246251565e-16,112.8187756135073,150.20118737433205,-37.38241176082475,0.555,0.555,0.555,0.555,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,73.91304347826083,73.91304347826086,73.91304347826086,-26.08695652173915,2.220446049250313e-16,,0.0,0.0,0.0,0.0
